rep,experiment,kernel,C,gamma,fold,f1_macro,f1_micro,accuracy
0,0,linear,0.001,scale,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,0,linear,0.001,scale,1,0.20436280137772678,0.4420529801324503,0.4420529801324503
0,0,linear,0.001,scale,2,0.20436280137772678,0.4420529801324503,0.4420529801324503
0,0,linear,0.001,scale,3,0.20474550325296595,0.44324772162386084,0.44324772162386084
0,0,linear,0.001,scale,4,0.20474550325296595,0.44324772162386084,0.44324772162386084
0,1,poly,0.001,scale,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,1,poly,0.001,scale,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,1,poly,0.001,scale,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,1,poly,0.001,scale,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,1,poly,0.001,scale,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,2,rbf,0.001,scale,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,2,rbf,0.001,scale,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,2,rbf,0.001,scale,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,2,rbf,0.001,scale,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,2,rbf,0.001,scale,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,3,linear,0.001,auto,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,3,linear,0.001,auto,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,3,linear,0.001,auto,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,3,linear,0.001,auto,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,3,linear,0.001,auto,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,4,poly,0.001,auto,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,4,poly,0.001,auto,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,4,poly,0.001,auto,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,4,poly,0.001,auto,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,4,poly,0.001,auto,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,5,rbf,0.001,auto,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,5,rbf,0.001,auto,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,5,rbf,0.001,auto,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,5,rbf,0.001,auto,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,5,rbf,0.001,auto,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,6,linear,0.001,0.001,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,6,linear,0.001,0.001,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,6,linear,0.001,0.001,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,6,linear,0.001,0.001,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,6,linear,0.001,0.001,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,7,poly,0.001,0.001,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,7,poly,0.001,0.001,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,7,poly,0.001,0.001,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,7,poly,0.001,0.001,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,7,poly,0.001,0.001,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,8,rbf,0.001,0.001,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,8,rbf,0.001,0.001,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,8,rbf,0.001,0.001,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,8,rbf,0.001,0.001,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,8,rbf,0.001,0.001,4,0.2044801838024124,0.4424192212096106,0.4424192212096106
0,9,linear,0.001,0.0031622776601683794,0,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,9,linear,0.001,0.0031622776601683794,1,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,9,linear,0.001,0.0031622776601683794,2,0.20462803595333715,0.44288079470198677,0.44288079470198677
0,9,linear,0.001,0.0031622776601683794,3,0.2044801838024124,0.4424192212096106,0.4424192212096106
